ID,USERNAME,EMAIL,FULLNAME,DEPARTMENT,WAREHOUSE,DOB,DESIGNATION,STATUS
1,mgr1,mgr1@pc.com,Jhon Kohen,MANAGER,1,7/12/1975,MANAGER,ACTIVE
2,mgr2,mgr2@pc.com,Alex Sam,MANAGER,2,8/12/1975,MANAGER,ACTIVE
3,mgr3,mgr3@pc.com,Almeg Pen,MANAGER,3,9/12/1975,MANAGER,ACTIVE
4,mgr4,mgr4@pc.com,Xiong Xi,MANAGER,4,10/12/1975,MANAGER,ACTIVE
5,ss1,ss1@pc.com,Peng Poh,SHELF,1,11/12/1975,SHELF SUPERVISOR,ACTIVE
6,ss2,ss2@pc.com,Jhon Poh,SHELF,2,12/12/1975,SHELF SUPERVISOR,ACTIVE
7,ss3,ss3@pc.com,Alex Poh,SHELF,3,13/12/1975,SHELF SUPERVISOR,ACTIVE
8,ss4,ss4@pc.com,Almeg Poh,SHELF,4,14/12/1975,SHELF SUPERVISOR,ACTIVE
9,grs1,ss1@pc.com,Jhon Sam,GOODS RECEIPT,1,15/12/1975,GOODS RECEIPT,ACTIVE
10,grs2,grs2@pc.com,Alex Samy,GOODS RECEIPT,2,16/12/1975,GOODS RECEIPT,ACTIVE
11,grs3,grs3@pc.com,Almeg Jhon Pen,GOODS RECEIPT,3,17/12/1975,GOODS RECEIPT,ACTIVE
12,grs4,grs4@pc.com,Xiong Xi Jhon,GOODS RECEIPT,4,18/12/1975,GOODS RECEIPT,ACTIVE
13,gi1,gi1@pc.com,Peng Poh Alex,GOODS ISSUE,1,19/12/1975,GOODS ISSUE,ACTIVE
14,gi2,gi2@pc.com,Jhon Jacob Poh,GOODS ISSUE,2,20/12/1975,GOODS ISSUE,ACTIVE
15,gi3,gi3@pc.com,Alex Poh Peng,GOODS ISSUE,3,21/12/1975,GOODS ISSUE,ACTIVE
16,gi4,gi4@pc.com,Almeg Poh,GOODS ISSUE,4,22/12/1975,GOODS ISSUE,ACTIVE
17,sl1,sl1@pc.com,Jhon Peng Kohen,SALES,1,23/12/1975,SALES,ACTIVE
18,sl2,sl2@pc.com,Alex Jacob Sam,SALES,2,24/12/1975,SALES,ACTIVE
19,sl3,sl3@pc.com,Almeg Pen,SALES,3,25/12/1975,SALES,ACTIVE
20,sl4,sl4@pc.com,Xiong Xi,SALES,4,26/12/1975,SALES,ACTIVE
21,pl1,pl1@pc.com,Peng Poh,PROCUREMENT,1,27/12/1975,PROCUREMENT,ACTIVE
22,pl2,pl2@pc.com,Jhon Almeg Poh,PROCUREMENT,2,28/12/1975,PROCUREMENT,ACTIVE
23,pl3,pl3@pc.com,Alex Poh Xi,PROCUREMENT,3,29/12/1975,PROCUREMENT,ACTIVE
24,pl4,pl4@pc.com,Almeg Poh Cheng,PROCUREMENT,4,30/12/1975,PROCUREMENT,ACTIVE
